sub,video,emotion,r_anger,r_disgust,r_fear,r_happy,r_pain,r_sad,original_code,high_low_code,movie_cope_number,actor
26,BP_H_16.mp4,happy,0.2,0.1,0.2,8.2,0.2,0.5,BP_H_16,BP_H_high,35,BP
26,JvG_H_18.mp4,happy,0.1,0.1,0.3,7.8,0.3,0.3,JvG_H_18,JvG_H_high,49,JvG
26,AK_P_59.mp4,pain,2.4,4.3,3.7,0.2,3.9,2.6,AK_P_59,AK_P_low,12,AK
26,AL_P_20.mp4,pain,3.3,3.4,2.1,0.5,4.6,3.6,AL_P_20,AL_P_low,26,AL
26,BP_P_02.mp4,pain,1.3,4.3,2.1,0.6,4.6,2.2,BP_P_02,BP_P_low,40,BP
26,JvG_P_16.mp4,pain,2.3,3.8,2.9,0.3,3.8,1.3,JvG_P_16,JvG_P_low,54,JvG
26,AK_P_21.mp4,pain,2,3.6,2.4,0,6.7,1.6,AK_P_21,AK_P_high,11,AK
26,AL_P_39.mp4,pain,2.7,4.5,3.7,0.4,6.4,2.6,AL_P_39,AL_P_high,25,AL
26,BP_P_18.mp4,pain,1,3,2,0.6,6.4,1.6,BP_P_18,BP_P_high,39,BP
26,JvG_P_20.mp4,pain,1.8,4.6,3.5,0.2,6.9,1.2,JvG_P_20,JvG_P_high,53,JvG
26,AK_S_06.mp4,sad,1.2,1.5,2.7,0.8,3.2,5.1,AK_S_06,AK_S_low,14,AK
26,AL_S_04.mp4,sad,1.8,3.5,3.6,0.2,3,5.1,AL_S_04,AL_S_low,28,AL
26,BP_S_13.mp4,sad,1.2,2.2,2.7,0.2,3.1,5,BP_S_13,BP_S_low,42,BP
26,JvG_S_12.mp4,sad,1.3,2,2.7,0.6,3.7,6.1,JvG_S_12,JvG_S_low,56,JvG
26,AK_S_23.mp4,sad,1.3,1.8,3.4,0.9,4.6,7.1,AK_S_23,AK_S_high,13,AK
26,AL_S_53.mp4,sad,1.7,3,5.8,0.2,4.7,7,AL_S_53,AL_S_high,27,AL
26,BP_S_18.mp4,sad,1.8,2.1,3.2,0.2,4.8,7.8,BP_S_18,BP_S_high,41,BP
26,JvG_S_24.mp4,sad,1.4,1.3,3.5,1.5,4.5,7.1,JvG_S_24,JvG_S_high,55,JvG
26,AK_N_01.mp4,neutral,1.8,1.4,0.8,0.2,1.1,2.3,AK_N_01,AK_N_low,10,AK
26,AL_N_01.mp4,neutral,1.5,0.9,1,0.3,0.9,1.9,AL_N_01,AL_N_low,24,AL
26,BP_N_01.mp4,neutral,0.8,1.2,0.4,0.9,0.7,1.3,BP_N_01,BP_N_low,38,BP
26,JvG_N_08.mp4,neutral,0.8,1.1,0.6,1.9,0.7,1.2,JvG_N_08,JvG_N_low,52,JvG
26,AK_N_09.mp4,neutral,2,2,1.4,0.8,1.9,2.1,AK_N_09,AK_N_high,9,AK
26,AL_N_06.mp4,neutral,1.8,1.9,1.4,0.3,1.5,2.4,AL_N_06,AL_N_high,23,AL
26,BP_N_07.mp4,neutral,2,1.9,1.1,0.9,1.4,1.9,BP_N_07,BP_N_high,37,BP
26,JvG_N_17.mp4,neutral,1.4,1.7,0.8,0.8,1.1,2,JvG_N_17,JvG_N_high,51,JvG
27,AK_A_04.mp4,anger,6.5,2.2,1.2,0.1,2.2,1.1,AK_A_04,AK_A_low,2,AK
27,AL_A_03.mp4,anger,5.3,2.3,1.8,0.3,1.5,1.7,AL_A_03,AL_A_low,16,AL
27,BP_A_10.mp4,anger,5.2,2.3,0.9,0.6,1.6,1.6,BP_A_10,BP_A_low,30,BP
27,JvG_A_14.mp4,anger,6.2,2.6,1.4,0.5,1.8,1.6,JvG_A_14,JvG_A_low,44,JvG
27,AK_A_32.mp4,anger,7.5,3.5,2.1,0.3,4,1.3,AK_A_32,AK_A_high,1,AK
27,AL_A_20.mp4,anger,7.6,2.4,1.7,0.2,1.7,1.1,AL_A_20,AL_A_high,15,AL
27,BP_A_41.mp4,anger,7.5,2.1,1.8,0.4,2.3,1.3,BP_A_41,BP_A_high,29,BP
27,JvG_A_19.mp4,anger,7.6,2.4,1.5,0.3,2.2,1.7,JvG_A_19,JvG_A_high,43,JvG
27,AK_D_02.mp4,disgust,2.1,5.3,1.4,0.5,2.1,3.2,AK_D_02,AK_D_low,4,AK
27,AL_D_12.mp4,disgust,3.1,5.8,1,0.5,1.4,1.7,AL_D_12,AL_D_low,18,AL
27,BP_D_03.mp4,disgust,1.6,5.5,1.9,0.2,2.2,1.5,BP_D_03,BP_D_low,32,BP
27,JvG_D_02.mp4,disgust,1.7,6.1,2.1,0.2,2.3,2.2,JvG_D_02,JvG_D_low,46,JvG
27,AK_D_12.mp4,disgust,1.3,7.5,1.4,0.6,2.2,1.5,AK_D_12,AK_D_high,3,AK
27,AL_D_29.mp4,disgust,1.6,8,1,0.4,1.3,1.3,AL_D_29,AL_D_high,17,AL
27,BP_D_25.mp4,disgust,1.3,7.5,2.6,0.1,3.2,2,BP_D_25,BP_D_high,31,BP
27,JvG_D_23.mp4,disgust,1.8,7.6,1.6,0.1,2.8,1.2,JvG_D_23,JvG_D_high,45,JvG
27,AK_F_02.mp4,fear,1.8,2.5,4.7,0.2,2.5,0.9,AK_F_02,AK_F_low,6,AK
27,AL_F_08.mp4,fear,1,2.7,5.1,0.6,1.1,1.2,AL_F_08,AL_F_low,20,AL
27,BP_F_02.mp4,fear,1.2,1.7,4.9,0.2,1.7,1.2,BP_F_02,BP_F_low,34,BP
27,JvG_F_01.mp4,fear,1,3,5.1,0.6,2.6,2.7,JvG_F_01,JvG_F_low,48,JvG
27,AK_F_24.mp4,fear,1.4,2.6,6.3,0.2,3.2,1.4,AK_F_24,AK_F_high,5,AK
27,AL_F_46.mp4,fear,0.9,2.1,6.6,1,1.9,1,AL_F_46,AL_F_high,19,AL
27,BP_F_46.mp4,fear,1.6,3.2,6.6,0.2,2.2,0.8,BP_F_46,BP_F_high,33,BP
27,JvG_F_13.mp4,fear,1.3,3.2,7.2,0.5,4.8,3.6,JvG_F_13,JvG_F_high,47,JvG
27,AK_H_28.mp4,happy,0.2,0.4,0.1,6,0.3,0.7,AK_H_28,AK_H_low,8,AK
27,AL_H_03.mp4,happy,0.3,0.3,0.4,6,0.7,0.4,AL_H_03,AL_H_low,22,AL
27,BP_H_05.mp4,happy,0.4,0.5,0.3,6.1,0.2,0.5,BP_H_05,BP_H_low,36,BP
27,JvG_H_03.mp4,happy,0.4,0.3,0.5,5.8,0.6,0.5,JvG_H_03,JvG_H_low,50,JvG
27,AK_H_15.mp4,happy,0.2,0.2,0.2,7.8,0.2,0.4,AK_H_15,AK_H_high,7,AK
27,AL_H_31.mp4,happy,0.3,0.3,0.3,7.6,0.3,0.2,AL_H_31,AL_H_high,21,AL
27,BP_H_16.mp4,happy,0.2,0.1,0.2,8.2,0.2,0.5,BP_H_16,BP_H_high,35,BP
27,JvG_H_18.mp4,happy,0.1,0.1,0.3,7.8,0.3,0.3,JvG_H_18,JvG_H_high,49,JvG
27,AK_P_59.mp4,pain,2.4,4.3,3.7,0.2,3.9,2.6,AK_P_59,AK_P_low,12,AK
27,AL_P_20.mp4,pain,3.3,3.4,2.1,0.5,4.6,3.6,AL_P_20,AL_P_low,26,AL
27,BP_P_02.mp4,pain,1.3,4.3,2.1,0.6,4.6,2.2,BP_P_02,BP_P_low,40,BP
27,JvG_P_16.mp4,pain,2.3,3.8,2.9,0.3,3.8,1.3,JvG_P_16,JvG_P_low,54,JvG
27,AK_P_21.mp4,pain,2,3.6,2.4,0,6.7,1.6,AK_P_21,AK_P_high,11,AK
27,AL_P_39.mp4,pain,2.7,4.5,3.7,0.4,6.4,2.6,AL_P_39,AL_P_high,25,AL
27,BP_P_18.mp4,pain,1,3,2,0.6,6.4,1.6,BP_P_18,BP_P_high,39,BP
27,JvG_P_20.mp4,pain,1.8,4.6,3.5,0.2,6.9,1.2,JvG_P_20,JvG_P_high,53,JvG
27,AK_S_06.mp4,sad,1.2,1.5,2.7,0.8,3.2,5.1,AK_S_06,AK_S_low,14,AK
27,AL_S_04.mp4,sad,1.8,3.5,3.6,0.2,3,5.1,AL_S_04,AL_S_low,28,AL
27,BP_S_13.mp4,sad,1.2,2.2,2.7,0.2,3.1,5,BP_S_13,BP_S_low,42,BP
27,JvG_S_12.mp4,sad,1.3,2,2.7,0.6,3.7,6.1,JvG_S_12,JvG_S_low,56,JvG
27,AK_S_23.mp4,sad,1.3,1.8,3.4,0.9,4.6,7.1,AK_S_23,AK_S_high,13,AK
27,AL_S_53.mp4,sad,1.7,3,5.8,0.2,4.7,7,AL_S_53,AL_S_high,27,AL
27,BP_S_18.mp4,sad,1.8,2.1,3.2,0.2,4.8,7.8,BP_S_18,BP_S_high,41,BP
27,JvG_S_24.mp4,sad,1.4,1.3,3.5,1.5,4.5,7.1,JvG_S_24,JvG_S_high,55,JvG
27,AK_N_01.mp4,neutral,1.8,1.4,0.8,0.2,1.1,2.3,AK_N_01,AK_N_low,10,AK
27,AL_N_01.mp4,neutral,1.5,0.9,1,0.3,0.9,1.9,AL_N_01,AL_N_low,24,AL
27,BP_N_01.mp4,neutral,0.8,1.2,0.4,0.9,0.7,1.3,BP_N_01,BP_N_low,38,BP
27,JvG_N_08.mp4,neutral,0.8,1.1,0.6,1.9,0.7,1.2,JvG_N_08,JvG_N_low,52,JvG
27,AK_N_09.mp4,neutral,2,2,1.4,0.8,1.9,2.1,AK_N_09,AK_N_high,9,AK
27,AL_N_06.mp4,neutral,1.8,1.9,1.4,0.3,1.5,2.4,AL_N_06,AL_N_high,23,AL
27,BP_N_07.mp4,neutral,2,1.9,1.1,0.9,1.4,1.9,BP_N_07,BP_N_high,37,BP
27,JvG_N_17.mp4,neutral,1.4,1.7,0.8,0.8,1.1,2,JvG_N_17,JvG_N_high,51,JvG
28,AK_A_04.mp4,anger,6.5,2.2,1.2,0.1,2.2,1.1,AK_A_04,AK_A_low,2,AK
28,AL_A_03.mp4,anger,5.3,2.3,1.8,0.3,1.5,1.7,AL_A_03,AL_A_low,16,AL
28,BP_A_10.mp4,anger,5.2,2.3,0.9,0.6,1.6,1.6,BP_A_10,BP_A_low,30,BP
28,JvG_A_14.mp4,anger,6.2,2.6,1.4,0.5,1.8,1.6,JvG_A_14,JvG_A_low,44,JvG
28,AK_A_32.mp4,anger,7.5,3.5,2.1,0.3,4,1.3,AK_A_32,AK_A_high,1,AK
28,AL_A_20.mp4,anger,7.6,2.4,1.7,0.2,1.7,1.1,AL_A_20,AL_A_high,15,AL
28,BP_A_41.mp4,anger,7.5,2.1,1.8,0.4,2.3,1.3,BP_A_41,BP_A_high,29,BP
28,JvG_A_19.mp4,anger,7.6,2.4,1.5,0.3,2.2,1.7,JvG_A_19,JvG_A_high,43,JvG
28,AK_D_02.mp4,disgust,2.1,5.3,1.4,0.5,2.1,3.2,AK_D_02,AK_D_low,4,AK
28,AL_D_12.mp4,disgust,3.1,5.8,1,0.5,1.4,1.7,AL_D_12,AL_D_low,18,AL
28,BP_D_03.mp4,disgust,1.6,5.5,1.9,0.2,2.2,1.5,BP_D_03,BP_D_low,32,BP
28,JvG_D_02.mp4,disgust,1.7,6.1,2.1,0.2,2.3,2.2,JvG_D_02,JvG_D_low,46,JvG
28,AK_D_12.mp4,disgust,1.3,7.5,1.4,0.6,2.2,1.5,AK_D_12,AK_D_high,3,AK
28,AL_D_29.mp4,disgust,1.6,8,1,0.4,1.3,1.3,AL_D_29,AL_D_high,17,AL
28,BP_D_25.mp4,disgust,1.3,7.5,2.6,0.1,3.2,2,BP_D_25,BP_D_high,31,BP
28,JvG_D_23.mp4,disgust,1.8,7.6,1.6,0.1,2.8,1.2,JvG_D_23,JvG_D_high,45,JvG
28,AK_F_02.mp4,fear,1.8,2.5,4.7,0.2,2.5,0.9,AK_F_02,AK_F_low,6,AK
28,AL_F_08.mp4,fear,1,2.7,5.1,0.6,1.1,1.2,AL_F_08,AL_F_low,20,AL
28,BP_F_02.mp4,fear,1.2,1.7,4.9,0.2,1.7,1.2,BP_F_02,BP_F_low,34,BP
28,JvG_F_01.mp4,fear,1,3,5.1,0.6,2.6,2.7,JvG_F_01,JvG_F_low,48,JvG
28,AK_F_24.mp4,fear,1.4,2.6,6.3,0.2,3.2,1.4,AK_F_24,AK_F_high,5,AK
28,AL_F_46.mp4,fear,0.9,2.1,6.6,1,1.9,1,AL_F_46,AL_F_high,19,AL
28,BP_F_46.mp4,fear,1.6,3.2,6.6,0.2,2.2,0.8,BP_F_46,BP_F_high,33,BP
28,JvG_F_13.mp4,fear,1.3,3.2,7.2,0.5,4.8,3.6,JvG_F_13,JvG_F_high,47,JvG
28,AK_H_28.mp4,happy,0.2,0.4,0.1,6,0.3,0.7,AK_H_28,AK_H_low,8,AK
28,AL_H_03.mp4,happy,0.3,0.3,0.4,6,0.7,0.4,AL_H_03,AL_H_low,22,AL
28,BP_H_05.mp4,happy,0.4,0.5,0.3,6.1,0.2,0.5,BP_H_05,BP_H_low,36,BP
28,JvG_H_03.mp4,happy,0.4,0.3,0.5,5.8,0.6,0.5,JvG_H_03,JvG_H_low,50,JvG
28,AK_H_15.mp4,happy,0.2,0.2,0.2,7.8,0.2,0.4,AK_H_15,AK_H_high,7,AK
28,AL_H_31.mp4,happy,0.3,0.3,0.3,7.6,0.3,0.2,AL_H_31,AL_H_high,21,AL
28,BP_H_16.mp4,happy,0.2,0.1,0.2,8.2,0.2,0.5,BP_H_16,BP_H_high,35,BP
28,JvG_H_18.mp4,happy,0.1,0.1,0.3,7.8,0.3,0.3,JvG_H_18,JvG_H_high,49,JvG
28,AK_P_59.mp4,pain,2.4,4.3,3.7,0.2,3.9,2.6,AK_P_59,AK_P_low,12,AK
28,AL_P_20.mp4,pain,3.3,3.4,2.1,0.5,4.6,3.6,AL_P_20,AL_P_low,26,AL
28,BP_P_02.mp4,pain,1.3,4.3,2.1,0.6,4.6,2.2,BP_P_02,BP_P_low,40,BP
28,JvG_P_16.mp4,pain,2.3,3.8,2.9,0.3,3.8,1.3,JvG_P_16,JvG_P_low,54,JvG
28,AK_P_21.mp4,pain,2,3.6,2.4,0,6.7,1.6,AK_P_21,AK_P_high,11,AK
28,AL_P_39.mp4,pain,2.7,4.5,3.7,0.4,6.4,2.6,AL_P_39,AL_P_high,25,AL
28,BP_P_18.mp4,pain,1,3,2,0.6,6.4,1.6,BP_P_18,BP_P_high,39,BP
28,JvG_P_20.mp4,pain,1.8,4.6,3.5,0.2,6.9,1.2,JvG_P_20,JvG_P_high,53,JvG
28,AK_S_06.mp4,sad,1.2,1.5,2.7,0.8,3.2,5.1,AK_S_06,AK_S_low,14,AK
28,AL_S_04.mp4,sad,1.8,3.5,3.6,0.2,3,5.1,AL_S_04,AL_S_low,28,AL
28,BP_S_13.mp4,sad,1.2,2.2,2.7,0.2,3.1,5,BP_S_13,BP_S_low,42,BP
28,JvG_S_12.mp4,sad,1.3,2,2.7,0.6,3.7,6.1,JvG_S_12,JvG_S_low,56,JvG
28,AK_S_23.mp4,sad,1.3,1.8,3.4,0.9,4.6,7.1,AK_S_23,AK_S_high,13,AK
28,AL_S_53.mp4,sad,1.7,3,5.8,0.2,4.7,7,AL_S_53,AL_S_high,27,AL
28,BP_S_18.mp4,sad,1.8,2.1,3.2,0.2,4.8,7.8,BP_S_18,BP_S_high,41,BP
28,JvG_S_24.mp4,sad,1.4,1.3,3.5,1.5,4.5,7.1,JvG_S_24,JvG_S_high,55,JvG
28,AK_N_01.mp4,neutral,1.8,1.4,0.8,0.2,1.1,2.3,AK_N_01,AK_N_low,10,AK
28,AL_N_01.mp4,neutral,1.5,0.9,1,0.3,0.9,1.9,AL_N_01,AL_N_low,24,AL
28,BP_N_01.mp4,neutral,0.8,1.2,0.4,0.9,0.7,1.3,BP_N_01,BP_N_low,38,BP
28,JvG_N_08.mp4,neutral,0.8,1.1,0.6,1.9,0.7,1.2,JvG_N_08,JvG_N_low,52,JvG
28,AK_N_09.mp4,neutral,2,2,1.4,0.8,1.9,2.1,AK_N_09,AK_N_high,9,AK
28,AL_N_06.mp4,neutral,1.8,1.9,1.4,0.3,1.5,2.4,AL_N_06,AL_N_high,23,AL
28,BP_N_07.mp4,neutral,2,1.9,1.1,0.9,1.4,1.9,BP_N_07,BP_N_high,37,BP
28,JvG_N_17.mp4,neutral,1.4,1.7,0.8,0.8,1.1,2,JvG_N_17,JvG_N_high,51,JvG
29,AK_A_04.mp4,anger,6.5,2.2,1.2,0.1,2.2,1.1,AK_A_04,AK_A_low,2,AK
29,AL_A_03.mp4,anger,5.3,2.3,1.8,0.3,1.5,1.7,AL_A_03,AL_A_low,16,AL
29,BP_A_10.mp4,anger,5.2,2.3,0.9,0.6,1.6,1.6,BP_A_10,BP_A_low,30,BP
29,JvG_A_14.mp4,anger,6.2,2.6,1.4,0.5,1.8,1.6,JvG_A_14,JvG_A_low,44,JvG
29,AK_A_32.mp4,anger,7.5,3.5,2.1,0.3,4,1.3,AK_A_32,AK_A_high,1,AK
29,AL_A_20.mp4,anger,7.6,2.4,1.7,0.2,1.7,1.1,AL_A_20,AL_A_high,15,AL
29,BP_A_41.mp4,anger,7.5,2.1,1.8,0.4,2.3,1.3,BP_A_41,BP_A_high,29,BP
29,JvG_A_19.mp4,anger,7.6,2.4,1.5,0.3,2.2,1.7,JvG_A_19,JvG_A_high,43,JvG
29,AK_D_02.mp4,disgust,2.1,5.3,1.4,0.5,2.1,3.2,AK_D_02,AK_D_low,4,AK
29,AL_D_12.mp4,disgust,3.1,5.8,1,0.5,1.4,1.7,AL_D_12,AL_D_low,18,AL
29,BP_D_03.mp4,disgust,1.6,5.5,1.9,0.2,2.2,1.5,BP_D_03,BP_D_low,32,BP
29,JvG_D_02.mp4,disgust,1.7,6.1,2.1,0.2,2.3,2.2,JvG_D_02,JvG_D_low,46,JvG
29,AK_D_12.mp4,disgust,1.3,7.5,1.4,0.6,2.2,1.5,AK_D_12,AK_D_high,3,AK
29,AL_D_29.mp4,disgust,1.6,8,1,0.4,1.3,1.3,AL_D_29,AL_D_high,17,AL
29,BP_D_25.mp4,disgust,1.3,7.5,2.6,0.1,3.2,2,BP_D_25,BP_D_high,31,BP
29,JvG_D_23.mp4,disgust,1.8,7.6,1.6,0.1,2.8,1.2,JvG_D_23,JvG_D_high,45,JvG
29,AK_F_02.mp4,fear,1.8,2.5,4.7,0.2,2.5,0.9,AK_F_02,AK_F_low,6,AK
29,AL_F_08.mp4,fear,1,2.7,5.1,0.6,1.1,1.2,AL_F_08,AL_F_low,20,AL
29,BP_F_02.mp4,fear,1.2,1.7,4.9,0.2,1.7,1.2,BP_F_02,BP_F_low,34,BP
29,JvG_F_01.mp4,fear,1,3,5.1,0.6,2.6,2.7,JvG_F_01,JvG_F_low,48,JvG
29,AK_F_24.mp4,fear,1.4,2.6,6.3,0.2,3.2,1.4,AK_F_24,AK_F_high,5,AK
29,AL_F_46.mp4,fear,0.9,2.1,6.6,1,1.9,1,AL_F_46,AL_F_high,19,AL
29,BP_F_46.mp4,fear,1.6,3.2,6.6,0.2,2.2,0.8,BP_F_46,BP_F_high,33,BP
29,JvG_F_13.mp4,fear,1.3,3.2,7.2,0.5,4.8,3.6,JvG_F_13,JvG_F_high,47,JvG
29,AK_H_28.mp4,happy,0.2,0.4,0.1,6,0.3,0.7,AK_H_28,AK_H_low,8,AK
29,AL_H_03.mp4,happy,0.3,0.3,0.4,6,0.7,0.4,AL_H_03,AL_H_low,22,AL
29,BP_H_05.mp4,happy,0.4,0.5,0.3,6.1,0.2,0.5,BP_H_05,BP_H_low,36,BP
29,JvG_H_03.mp4,happy,0.4,0.3,0.5,5.8,0.6,0.5,JvG_H_03,JvG_H_low,50,JvG
29,AK_H_15.mp4,happy,0.2,0.2,0.2,7.8,0.2,0.4,AK_H_15,AK_H_high,7,AK
29,AL_H_31.mp4,happy,0.3,0.3,0.3,7.6,0.3,0.2,AL_H_31,AL_H_high,21,AL
29,BP_H_16.mp4,happy,0.2,0.1,0.2,8.2,0.2,0.5,BP_H_16,BP_H_high,35,BP
29,JvG_H_18.mp4,happy,0.1,0.1,0.3,7.8,0.3,0.3,JvG_H_18,JvG_H_high,49,JvG
29,AK_P_59.mp4,pain,2.4,4.3,3.7,0.2,3.9,2.6,AK_P_59,AK_P_low,12,AK
29,AL_P_20.mp4,pain,3.3,3.4,2.1,0.5,4.6,3.6,AL_P_20,AL_P_low,26,AL
29,BP_P_02.mp4,pain,1.3,4.3,2.1,0.6,4.6,2.2,BP_P_02,BP_P_low,40,BP
29,JvG_P_16.mp4,pain,2.3,3.8,2.9,0.3,3.8,1.3,JvG_P_16,JvG_P_low,54,JvG
29,AK_P_21.mp4,pain,2,3.6,2.4,0,6.7,1.6,AK_P_21,AK_P_high,11,AK
29,AL_P_39.mp4,pain,2.7,4.5,3.7,0.4,6.4,2.6,AL_P_39,AL_P_high,25,AL
29,BP_P_18.mp4,pain,1,3,2,0.6,6.4,1.6,BP_P_18,BP_P_high,39,BP
29,JvG_P_20.mp4,pain,1.8,4.6,3.5,0.2,6.9,1.2,JvG_P_20,JvG_P_high,53,JvG
29,AK_S_06.mp4,sad,1.2,1.5,2.7,0.8,3.2,5.1,AK_S_06,AK_S_low,14,AK
29,AL_S_04.mp4,sad,1.8,3.5,3.6,0.2,3,5.1,AL_S_04,AL_S_low,28,AL
29,BP_S_13.mp4,sad,1.2,2.2,2.7,0.2,3.1,5,BP_S_13,BP_S_low,42,BP
29,JvG_S_12.mp4,sad,1.3,2,2.7,0.6,3.7,6.1,JvG_S_12,JvG_S_low,56,JvG
29,AK_S_23.mp4,sad,1.3,1.8,3.4,0.9,4.6,7.1,AK_S_23,AK_S_high,13,AK
29,AL_S_53.mp4,sad,1.7,3,5.8,0.2,4.7,7,AL_S_53,AL_S_high,27,AL
29,BP_S_18.mp4,sad,1.8,2.1,3.2,0.2,4.8,7.8,BP_S_18,BP_S_high,41,BP
29,JvG_S_24.mp4,sad,1.4,1.3,3.5,1.5,4.5,7.1,JvG_S_24,JvG_S_high,55,JvG
29,AK_N_01.mp4,neutral,1.8,1.4,0.8,0.2,1.1,2.3,AK_N_01,AK_N_low,10,AK
29,AL_N_01.mp4,neutral,1.5,0.9,1,0.3,0.9,1.9,AL_N_01,AL_N_low,24,AL
29,BP_N_01.mp4,neutral,0.8,1.2,0.4,0.9,0.7,1.3,BP_N_01,BP_N_low,38,BP
29,JvG_N_08.mp4,neutral,0.8,1.1,0.6,1.9,0.7,1.2,JvG_N_08,JvG_N_low,52,JvG
29,AK_N_09.mp4,neutral,2,2,1.4,0.8,1.9,2.1,AK_N_09,AK_N_high,9,AK
29,AL_N_06.mp4,neutral,1.8,1.9,1.4,0.3,1.5,2.4,AL_N_06,AL_N_high,23,AL
29,BP_N_07.mp4,neutral,2,1.9,1.1,0.9,1.4,1.9,BP_N_07,BP_N_high,37,BP
29,JvG_N_17.mp4,neutral,1.4,1.7,0.8,0.8,1.1,2,JvG_N_17,JvG_N_high,51,JvG
30,AK_A_04.mp4,anger,6.5,2.2,1.2,0.1,2.2,1.1,AK_A_04,AK_A_low,2,AK
30,AL_A_03.mp4,anger,5.3,2.3,1.8,0.3,1.5,1.7,AL_A_03,AL_A_low,16,AL
30,BP_A_10.mp4,anger,5.2,2.3,0.9,0.6,1.6,1.6,BP_A_10,BP_A_low,30,BP
30,JvG_A_14.mp4,anger,6.2,2.6,1.4,0.5,1.8,1.6,JvG_A_14,JvG_A_low,44,JvG
30,AK_A_32.mp4,anger,7.5,3.5,2.1,0.3,4,1.3,AK_A_32,AK_A_high,1,AK
30,AL_A_20.mp4,anger,7.6,2.4,1.7,0.2,1.7,1.1,AL_A_20,AL_A_high,15,AL
30,BP_A_41.mp4,anger,7.5,2.1,1.8,0.4,2.3,1.3,BP_A_41,BP_A_high,29,BP
30,JvG_A_19.mp4,anger,7.6,2.4,1.5,0.3,2.2,1.7,JvG_A_19,JvG_A_high,43,JvG
30,AK_D_02.mp4,disgust,2.1,5.3,1.4,0.5,2.1,3.2,AK_D_02,AK_D_low,4,AK
30,AL_D_12.mp4,disgust,3.1,5.8,1,0.5,1.4,1.7,AL_D_12,AL_D_low,18,AL
30,BP_D_03.mp4,disgust,1.6,5.5,1.9,0.2,2.2,1.5,BP_D_03,BP_D_low,32,BP
30,JvG_D_02.mp4,disgust,1.7,6.1,2.1,0.2,2.3,2.2,JvG_D_02,JvG_D_low,46,JvG
30,AK_D_12.mp4,disgust,1.3,7.5,1.4,0.6,2.2,1.5,AK_D_12,AK_D_high,3,AK
30,AL_D_29.mp4,disgust,1.6,8,1,0.4,1.3,1.3,AL_D_29,AL_D_high,17,AL
